pr_id,pr_gene_id,pr_gene_symbol,pr_gene_title,pr_is_lm,pr_is_bing,gene_id
200825_s_at,10525,HYOU1,hypoxia up-regulated 1,1,1,10525
205562_at,10557,RPP38,ribonuclease P/MRP 38kDa subunit,1,1,10557
203306_s_at,10559,SLC35A1,"solute carrier family 35 (CMP-sialic acid transporter), member A1",1,1,10559
203258_at,10589,DRAP1,DR1 associated protein 1,1,1,10589
201014_s_at,10606,PAICS,phosphoribosylaminoimidazole carboxylase; phosphoribosylaminoimidazolesuccinocarboxamide synthase,1,1,10606
204542_at,10610,ST6GALNAC2,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2",1,1,10610
202811_at,10617,STAMBP,STAM binding protein,1,1,10617
205046_at,1062,CENPE,centromere protein E,1,1,1062
203246_s_at,10641,NPRL2,"NPR2-like, GATOR1 complex subunit",1,1,10641
218847_at,10644,IGF2BP2,insulin like growth factor 2 mRNA binding protein 2,1,1,10644
217784_at,10652,YKT6,YKT6 v-SNARE homolog (S. cerevisiae),1,1,10652
204605_at,10668,CGRRF1,cell growth regulator with ring finger domain 1,1,1,10668
201628_s_at,10670,RRAGA,Ras-related GTP binding A,1,1,10670
204000_at,10681,GNB5,"guanine nucleotide binding protein (G protein), beta 5",1,1,10681
202735_at,10682,EBP,emopamil binding protein (sterol isomerase),1,1,10682
217931_at,10695,CNPY3,canopy FGF signaling regulator 3,1,1,10695
209662_at,1070,CETN3,centrin 3,1,1,1070
201351_s_at,10730,YME1L1,YME1 like 1 ATPase,1,1,10730
204849_at,10732,TCFL5,transcription factor-like 5 (basic helix-loop-helix),1,1,10732
201548_s_at,10765,KDM5B,lysine (K)-specific demethylase 5B,1,1,10765
202868_s_at,10775,POP4,"POP4 homolog, ribonuclease P/MRP subunit",1,1,10775
221482_s_at,10776,ARPP19,cAMP regulated phosphoprotein 19kDa,1,1,10776
204937_s_at,10782,ZNF274,zinc finger protein 274,1,1,10782
201761_at,10797,MTHFD2,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",1,1,10797
204042_at,10810,WASF3,WAS protein family member 3,1,1,10810
221514_at,10813,UTP14A,UTP14A small subunit processome component,1,1,10813
221308_at,10818,FRS2,fibroblast growth factor receptor substrate 2,1,1,10818
204809_at,10845,CLPX,caseinolytic mitochondrial matrix peptidase chaperone subunit,1,1,10845
201121_s_at,10857,PGRMC1,progesterone receptor membrane component 1,1,1,10857
208309_s_at,10892,MALT1,MALT1 paracaspase,1,1,10892
206688_s_at,10898,CPSF4,cleavage and polyadenylation specific factor 4,1,1,10898
201032_at,10904,BLCAP,bladder cancer associated protein,1,1,10904
202396_at,10915,TCERG1,transcription elongation regulator 1,1,1,10915
200060_s_at,10921,RNPS1,"RNA binding protein S1, serine-rich domain",1,1,10921
201870_at,10953,TOMM34,translocase of outer mitochondrial membrane 34,1,1,10953
203857_s_at,10954,PDIA5,protein disulfide isomerase family A member 5,1,1,10954
211071_s_at,10962,MLLT11,"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 11",1,1,10962
201323_at,10969,EBNA1BP2,EBNA1 binding protein 2,1,1,10969
200929_at,10972,TMED10,transmembrane p24 trafficking protein 10,1,1,10972
212815_at,10973,ASCC3,activating signal cointegrator 1 complex subunit 3,1,1,10973
222217_s_at,11000,SLC27A3,"solute carrier family 27 (fatty acid transporter), member 3",1,1,11000
209408_at,11004,KIF2C,kinesin family member 2C,1,1,11004
204610_s_at,11007,CCDC85B,coiled-coil domain containing 85B,1,1,11007
212997_s_at,11011,TLK2,tousled like kinase 2,1,1,11011
200698_at,11014,KDELR2,KDEL endoplasmic reticulum protein retention receptor 2,1,1,11014
217763_s_at,11031,RAB31,"RAB31, member RAS oncogene family",1,1,11031
203188_at,11041,B4GAT1,"beta-1,4-glucuronyltransferase 1",1,1,11041
202466_at,11044,PAPD7,PAP associated domain containing 7,1,1,11044
202954_at,11065,UBE2C,ubiquitin conjugating enzyme E2C,1,1,11065
203367_at,11072,DUSP14,dual specificity phosphatase 14,1,1,11072
202633_at,11073,TOPBP1,topoisomerase (DNA) II binding protein 1,1,1,11073
202458_at,11098,PRSS23,"protease, serine 23",1,1,11098
205393_s_at,1111,CHEK1,checkpoint kinase 1,1,1,1111
201608_s_at,11137,PWP1,"PWP1 homolog, endonuclein",1,1,11137
202732_at,11142,PKIG,"protein kinase (cAMP-dependent, catalytic) inhibitor gamma",1,1,11142
209083_at,11151,CORO1A,coronin 1A,1,1,11151
205036_at,11157,LSM6,"LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated",1,1,11157
209337_at,11168,PSIP1,PC4 and SFRS1 interacting protein 1,1,1,11168
220091_at,11182,SLC2A6,"solute carrier family 2 (facilitated glucose transporter), member 6",1,1,11182
201591_s_at,11188,NISCH,nischarin,1,1,11188
210416_s_at,11200,CHEK2,checkpoint kinase 2,1,1,11200
212624_s_at,1123,CHN1,chimerin 1,1,1,1123
203456_at,11230,PRAF2,PRA1 domain family member 2,1,1,11230
205811_at,11232,POLG2,"polymerase (DNA directed), gamma 2, accessory subunit",1,1,11232
207993_s_at,11261,CHP1,calcineurin like EF-hand protein 1,1,1,11261
218961_s_at,11284,PNKP,polynucleotide kinase 3'-phosphatase,1,1,11284
203013_at,11319,ECD,ecdysoneless cell cycle regulator,1,1,11319
201788_at,11325,DDX42,DEAD-box helicase 42,1,1,11325
202009_at,11344,TWF2,twinfilin actin binding protein 2,1,1,11344
200810_s_at,1153,CIRBP,cold inducible RNA binding protein,1,1,1153
210115_at,116832,RPL39L,ribosomal protein L39 like,1,1,116832
205172_x_at,1212,CLTB,clathrin light chain B,1,1,1212
200614_at,1213,CLTC,clathrin heavy chain,1,1,1213
221732_at,124583,CANT1,calcium activated nucleotidase 1,1,1,124583
202310_s_at,1277,COL1A1,collagen type I alpha 1,1,1,1277
208847_s_at,128,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide",1,1,128
211980_at,1282,COL4A1,collagen type IV alpha 1,1,1,1282
204313_s_at,1385,CREB1,cAMP responsive element binding protein 1,1,1,1385
202224_at,1398,CRK,v-crk avian sarcoma virus CT10 oncogene homolog,1,1,1398
212180_at,1399,CRKL,v-crk avian sarcoma virus CT10 oncogene homolog-like,1,1,1399
208644_at,142,PARP1,poly(ADP-ribose) polymerase 1,1,1,142
202950_at,1429,CRYZ,crystallin zeta,1,1,1429
202329_at,1445,CSK,c-src tyrosine kinase,1,1,1445
206562_s_at,1452,CSNK1A1,casein kinase 1 alpha 1,1,1,1452
202332_at,1454,CSNK1E,casein kinase 1 epsilon,1,1,1454
203575_at,1459,CSNK2A2,casein kinase 2 alpha 2,1,1,1459
200621_at,1465,CSRP1,cysteine and glycine rich protein 1,1,1,1465
212051_at,147179,WIPF2,WAS/WASL interacting protein family member 2,1,1,147179
213191_at,148022,TICAM1,toll like receptor adaptor molecule 1,1,1,148022
208407_s_at,1500,CTNND1,catenin delta 1,1,1,1500
200766_at,1509,CTSD,cathepsin D,1,1,1509
202087_s_at,1514,CTSL,cathepsin L,1,1,1514
209163_at,1534,CYB561,cytochrome b561,1,1,1534
206170_at,154,ADRB2,adrenoceptor beta 2,1,1,154
201000_at,16,AARS,alanyl-tRNA synthetase,1,1,16
205417_s_at,1605,DAG1,dystroglycan 1,1,1,1605
201763_s_at,1616,DAXX,death-domain associated protein,1,1,1616
203302_at,1633,DCK,deoxycytidine kinase,1,1,1633
201572_x_at,1635,DCTD,dCMP deaminase,1,1,1635
203409_at,1643,DDB2,damage-specific DNA binding protein 2,1,1,1643
203725_at,1647,GADD45A,growth arrest and DNA damage inducible alpha,1,1,1647
204977_at,1662,DDX10,DEAD-box helicase 10,1,1,1662
202447_at,1666,DECR1,"2,4-dienoyl-CoA reductase 1, mitochondrial",1,1,1666
203277_at,1676,DFFA,"DNA fragmentation factor, 45kDa, alpha polypeptide",1,1,1676
206752_s_at,1677,DFFB,"DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase)",1,1,1677
209095_at,1738,DLD,dihydrolipoamide dehydrogenase,1,1,1738
215116_s_at,1759,DNM1,dynamin 1,1,1,1759
203566_s_at,178,AGL,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",1,1,178
201697_s_at,1786,DNMT1,DNA (cytosine-5-)-methyltransferase 1,1,1,1786
218457_s_at,1788,DNMT3A,DNA (cytosine-5-)-methyltransferase 3 alpha,1,1,1788
204514_at,1802,DPH2,DPH2 homolog,1,1,1802
217901_at,1829,DSG2,desmoglein 2,1,1,1829
208763_s_at,1831,TSC22D3,TSC22 domain family member 3,1,1,1831
201536_at,1845,DUSP3,dual specificity phosphatase 3,1,1,1845
204014_at,1846,DUSP4,dual specificity phosphatase 4,1,1,1846
208891_at,1848,DUSP6,dual specificity phosphatase 6,1,1,1848
202349_at,1861,TOR1A,torsin family 1 member A,1,1,1861
207042_at,1870,E2F2,E2F transcription factor 2,1,1,1870
200789_at,1891,ECH1,"enoyl-CoA hydratase 1, peroxisomal",1,1,1891
218995_s_at,1906,EDN1,endothelin 1,1,1,1906
206254_at,1950,EGF,epidermal growth factor,1,1,1950
201984_s_at,1956,EGFR,epidermal growth factor receptor,1,1,1956
201693_s_at,1958,EGR1,early growth response 1,1,1,1958
221539_at,1978,EIF4EBP1,eukaryotic translation initiation factor 4E binding protein 1,1,1,1978
208624_s_at,1981,EIF4G1,"eukaryotic translation initiation factor 4 gamma, 1",1,1,1981
208708_x_at,1983,EIF5,eukaryotic translation initiation factor 5,1,1,1983
201727_s_at,1994,ELAVL1,ELAV like RNA binding protein 1,1,1,1994
212300_at,200081,TXLNA,taxilin alpha,1,1,200081
212458_at,200734,SPRED2,"sprouty-related, EVH1 domain containing 2",1,1,200734
214074_s_at,2017,CTTN,cortactin,1,1,2017
201719_s_at,2037,EPB41L2,erythrocyte membrane protein band 4.1-like 2,1,1,2037
206070_s_at,2042,EPHA3,EPH receptor A3,1,1,2042
209588_at,2048,EPHB2,EPH receptor B2,1,1,2048
200843_s_at,2058,EPRS,glutamyl-prolyl-tRNA synthetase,1,1,2058
209262_s_at,2063,NR2F6,nuclear receptor subfamily 2 group F member 6,1,1,2063
216836_s_at,2064,ERBB2,erb-b2 receptor tyrosine kinase 2,1,1,2064
202454_s_at,2065,ERBB3,erb-b2 receptor tyrosine kinase 3,1,1,2065
207163_s_at,207,AKT1,v-akt murine thymoma viral oncogene homolog 1,1,1,207
202942_at,2109,ETFB,electron transfer flavoprotein beta subunit,1,1,2109
205633_s_at,211,ALAS1,5'-aminolevulinate synthase 1,1,1,211
214447_at,2113,ETS1,v-ets avian erythroblastosis virus E26 oncogene homolog 1,1,1,2113
206501_x_at,2115,ETV1,ets variant 1,1,1,2115
201995_at,2131,EXT1,exostosin glycosyltransferase 1,1,1,2131
203358_s_at,2146,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit,1,1,2146
202862_at,2184,FAH,fumarylacetoacetate hydrolase (fumarylacetoacetase),1,1,2184
203110_at,2185,PTK2B,protein tyrosine kinase 2 beta,1,1,2185
201579_at,2195,FAT1,FAT atypical cadherin 1,1,1,2195
208647_at,2222,FDFT1,farnesyl-diphosphate farnesyltransferase 1,1,1,2222
200966_x_at,226,ALDOA,"aldolase, fructose-bisphosphate A",1,1,226
203639_s_at,2263,FGFR2,fibroblast growth factor receptor 2,1,1,2263
204579_at,2264,FGFR4,fibroblast growth factor receptor 4,1,1,2264
202949_s_at,2274,FHL2,four and a half LIM domains 2,1,1,2274
207842_s_at,22794,CASC3,cancer susceptibility candidate 3,1,1,22794
203073_at,22796,COG2,component of oligomeric golgi complex 2,1,1,22796
204999_s_at,22809,ATF5,activating transcription factor 5,1,1,22809
203346_s_at,22823,MTF2,metal response element binding transcription factor 2,1,1,22823
209899_s_at,22827,PUF60,poly(U) binding splicing factor 60KDa,1,1,22827
203884_s_at,22841,RAB11FIP2,RAB11 family interacting protein 2 (class I),1,1,22841
200895_s_at,2288,FKBP4,FK506 binding protein 4,1,1,2288
201561_s_at,22883,CLSTN1,calsyntenin 1,1,1,22883
206015_s_at,22887,FOXJ3,forkhead box J3,1,1,22887
202220_at,22889,KIAA0907,KIAA0907,1,1,22889
203464_s_at,22905,EPN2,epsin 2,1,1,22905
202797_at,22908,SACM1L,SAC1 suppressor of actin mutations 1-like (yeast),1,1,22908
203952_at,22926,ATF6,activating transcription factor 6,1,1,22926
212973_at,22934,RPIA,ribose 5-phosphate isomerase A,1,1,22934
200045_at,23,ABCF1,ATP binding cassette subfamily F member 1,1,1,23
202022_at,230,ALDOC,"aldolase, fructose-bisphosphate C",1,1,230
203885_at,23011,RAB21,"RAB21, member RAS oncogene family",1,1,23011
201997_s_at,23013,SPEN,spen family transcriptional repressor,1,1,23013
212231_at,23014,FBXO21,F-box protein 21,1,1,23014
212591_at,23029,RBM34,RNA binding motif protein 34,1,1,23029
40829_at,23038,WDTC1,WD and tetratricopeptide repeats 1,1,1,23038
212166_at,23039,XPO7,exportin 7,1,1,23039
212054_x_at,23061,TBC1D9B,TBC1 domain family member 9B,1,1,23061
212846_at,23076,RRP1B,ribosomal RNA processing 1B,1,1,23076
201959_s_at,23077,MYCBP2,"MYC binding protein 2, E3 ubiquitin protein ligase",1,1,23077
204131_s_at,2309,FOXO3,forkhead box O3,1,1,2309
212899_at,23097,CDK19,cyclin-dependent kinase 19,1,1,23097
212485_at,23131,GPATCH8,G-patch domain containing 8,1,1,23131
215903_s_at,23139,MAST2,microtubule associated serine/threonine kinase 2,1,1,23139
212851_at,23142,DCUN1D4,defective in cullin neddylation 1 domain containing 4,1,1,23142
213669_at,23149,FCHO1,FCH domain only 1,1,1,23149
213292_s_at,23161,SNX13,sorting nexin 13,1,1,23161
212536_at,23200,ATP11B,"ATPase, class VI, type 11B",1,1,23200
212723_at,23210,JMJD6,jumonji domain containing 6,1,1,23210
209567_at,23212,RRS1,ribosome biogenesis regulator homolog,1,1,23212
216913_s_at,23223,RRP12,ribosomal RNA processing 12 homolog,1,1,23223
202761_s_at,23224,SYNE2,"spectrin repeat containing, nuclear envelope 2",1,1,23224
212140_at,23244,PDS5A,PDS5 cohesin associated factor A,1,1,23244
212765_at,23271,CAMSAP2,calmodulin regulated spectrin associated protein family member 2,1,1,23271
201855_s_at,23300,ATMIN,ATM interactor,1,1,23300
215945_s_at,23321,TRIM2,tripartite motif containing 2,1,1,23321
212795_at,23325,KIAA1033,KIAA1033,1,1,23325
200083_at,23326,USP22,ubiquitin specific peptidase 22,1,1,23326
212880_at,23335,WDR7,WD repeat domain 7,1,1,23335
212660_at,23338,JADE2,jade family PHD finger 2,1,1,23338
201334_s_at,23365,ARHGEF12,Rho guanine nucleotide exchange factor 12,1,1,23365
216347_s_at,23368,PPP1R13B,protein phosphatase 1 regulatory subunit 13B,1,1,23368
203171_s_at,23378,RRP8,"ribosomal RNA processing 8, methyltransferase, homolog (yeast)",1,1,23378
201270_x_at,23386,NUDCD3,NudC domain containing 3,1,1,23386
221562_s_at,23410,SIRT3,sirtuin 3,1,1,23410
206770_s_at,23443,SLC35A3,"solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member A3",1,1,23443
201611_s_at,23463,ICMT,isoprenylcysteine carboxyl methyltransferase,1,1,23463
208634_s_at,23499,MACF1,microtubule-actin crosslinking factor 1,1,1,23499
212287_at,23512,SUZ12,SUZ12 polycomb repressive complex 2 subunit,1,1,23512
212462_at,23522,KAT6B,K(lysine) acetyltransferase 6B,1,1,23522
209189_at,2353,FOS,FBJ murine osteosarcoma viral oncogene homolog,1,1,2353
202784_s_at,23530,NNT,nicotinamide nucleotide transhydrogenase,1,1,23530
219384_s_at,23536,ADAT1,"adenosine deaminase, tRNA-specific 1",1,1,23536
202945_at,2356,FPGS,folylpolyglutamate synthase,1,1,2356
217766_s_at,23585,TMEM50A,transmembrane protein 50A,1,1,23585
217906_at,23588,KLHDC2,kelch domain containing 2,1,1,23588
221641_s_at,23597,ACOT9,acyl-CoA thioesterase 9,1,1,23597
203787_at,23635,SSBP2,single-stranded DNA binding protein 2,1,1,23635
202153_s_at,23636,NUP62,nucleoporin 62kDa,1,1,23636
202109_at,23647,ARFIP2,ADP ribosylation factor interacting protein 2,1,1,23647
211747_s_at,23658,LSM5,"LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated",1,1,23658
204458_at,23659,PLA2G15,phospholipase A2 group XV,1,1,23659
218113_at,23670,TMEM2,transmembrane protein 2,1,1,23670
203521_s_at,24149,ZNF318,zinc finger protein 318,1,1,24149
202123_s_at,25,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",1,1,25
206109_at,2523,FUT1,fucosyltransferase 1 (H blood group),1,1,2523
210105_s_at,2534,FYN,"FYN proto-oncogene, Src family tyrosine kinase",1,1,2534
202830_s_at,2542,SLC37A4,"solute carrier family 37 (glucose-6-phosphate transporter), member 4",1,1,2542
202812_at,2548,GAA,"glucosidase, alpha; acid",1,1,2548
206173_x_at,2553,GABPB1,"GA binding protein transcription factor, beta subunit 1",1,1,2553
203442_x_at,256364,EML3,echinoderm microtubule associated protein like 3,1,1,256364
201178_at,25793,FBXO7,F-box protein 7,1,1,25793
214404_x_at,25803,SPDEF,SAM pointed domain containing ETS transcription factor,1,1,25803
203304_at,25805,BAMBI,BMP and activin membrane-bound inhibitor,1,1,25805
202528_at,2582,GALE,UDP-galactose-4-epimerase,1,1,2582
217867_x_at,25825,BACE2,beta-site APP-cleaving enzyme 2,1,1,25825
212189_s_at,25839,COG4,component of oligomeric golgi complex 4,1,1,25839
202427_s_at,25874,MPC2,mitochondrial pyruvate carrier 2,1,1,25874
201560_at,25932,CLIC4,chloride intracellular channel 4,1,1,25932
212875_s_at,25966,C2CD2,C2 calcium-dependent domain containing 2,1,1,25966
217398_x_at,2597,GAPDH,glyceraldehyde-3-phosphate dehydrogenase,1,1,2597
212665_at,25976,TIPARP,TCDD-inducible poly(ADP-ribose) polymerase,1,1,25976
218245_at,25987,TSKU,"tsukushi, small leucine rich proteoglycan",1,1,25987
212047_s_at,26001,RNF167,ring finger protein 167,1,1,26001
201412_at,26020,LRP10,LDL receptor related protein 10,1,1,26020
212557_at,26036,ZNF451,zinc finger protein 451,1,1,26036
202318_s_at,26054,SENP6,SUMO1/sentrin specific peptidase 6,1,1,26054
202052_s_at,26064,RAI14,retinoic acid induced 14,1,1,26064
212453_at,26128,KIF1BP,KIF1 binding protein,1,1,26128
202720_at,26136,TES,testin LIM domain protein,1,1,26136
201397_at,26227,PHGDH,phosphoglycerate dehydrogenase,1,1,26227
209710_at,2624,GATA2,GATA binding protein 2,1,1,2624
209603_at,2625,GATA3,GATA binding protein 3,1,1,2625
203360_s_at,26292,MYCBP,MYC binding protein,1,1,26292
219492_at,26511,CHIC2,cysteine rich hydrophobic domain 2,1,1,26511
218316_at,26520,TIMM9,translocase of inner mitochondrial membrane 9 homolog (yeast),1,1,26520
202722_s_at,2673,GFPT1,glutamine--fructose-6-phosphate transaminase 1,1,1,2673
205498_at,2690,GHR,growth hormone receptor,1,1,2690
218064_s_at,26993,AKAP8L,A-kinase anchoring protein 8 like,1,1,26993
212255_s_at,27032,ATP2C1,"ATPase, Ca++ transporting, type 2C, member 1",1,1,27032
203512_at,27095,TRAPPC3,trafficking protein particle complex 3,1,1,27095
213995_at,27109,ATP5S,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit s (factor B)",1,1,27109
218856_at,27242,TNFRSF21,tumor necrosis factor receptor superfamily member 21,1,1,27242
218346_s_at,27244,SESN1,sestrin 1,1,1,27244
202602_s_at,27336,HTATSF1,HIV-1 Tat specific factor 1,1,1,27336
212281_s_at,27346,TMEM97,transmembrane protein 97,1,1,27346
207034_s_at,2736,GLI2,GLI family zinc finger 2,1,1,2736
206662_at,2745,GLRX,glutaredoxin,1,1,2745
40562_at,2767,GNA11,"guanine nucleotide binding protein (G protein), alpha 11 (Gq class)",1,1,2767
205349_at,2769,GNA15,"guanine nucleotide binding protein (G protein), alpha 15 (Gq class)",1,1,2769
209576_at,2770,GNAI1,"guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1",1,1,2770
201040_at,2771,GNAI2,"guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2",1,1,2771
200981_x_at,2778,GNAS,GNAS complex locus,1,1,2778
209260_at,2810,SFN,stratifin,1,1,2810
202756_s_at,2817,GPC1,glypican 1,1,1,2817
210640_s_at,2852,GPER1,G protein-coupled estrogen receptor 1,1,1,2852
210761_s_at,2886,GRB7,growth factor receptor bound protein 7,1,1,2886
209409_at,2887,GRB10,growth factor receptor bound protein 10,1,1,2887
200678_x_at,2896,GRN,granulin,1,1,2896
217809_at,28969,BZW2,basic leucine zipper and W2 domains 2,1,1,28969
216321_s_at,2908,NR3C1,nuclear receptor subfamily 3 group C member 1,1,1,2908
218571_s_at,29082,CHMP4A,charged multivesicular body protein 4A,1,1,29082
221046_s_at,29083,GTPBP8,GTP-binding protein 8 (putative),1,1,29083
202825_at,291,SLC25A4,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4",1,1,291
218435_at,29103,DNAJC15,DnaJ heat shock protein family (Hsp40) member C15,1,1,29103
209774_x_at,2920,CXCL2,chemokine (C-X-C motif) ligand 2,1,1,2920
204418_x_at,2946,GSTM2,glutathione S-transferase mu 2 (muscle),1,1,2946
209531_at,2954,GSTZ1,glutathione S-transferase zeta 1,1,1,2954
202911_at,2956,MSH6,mutS homolog 6,1,1,2956
202678_at,2958,GTF2A2,general transcription factor IIA 2,1,1,2958
202680_at,2961,GTF2E2,general transcription factor IIE subunit 2,1,1,2961
218744_s_at,29763,PACSIN3,protein kinase C and casein kinase substrate in neurons 3,1,1,29763
202689_at,29890,RBM15B,RNA binding motif protein 15B,1,1,29890
218780_at,29911,HOOK2,hook microtubule-tethering protein 2,1,1,29911
220140_s_at,29916,SNX11,sorting nexin 11,1,1,29916
219184_x_at,29928,TIMM22,translocase of inner mitochondrial membrane 22 homolog (yeast),1,1,29928
218407_x_at,29937,NENF,neudesin neurotrophic factor,1,1,29937
215884_s_at,29978,UBQLN2,ubiquilin 2,1,1,29978
214274_s_at,30,ACAA1,acetyl-CoA acyltransferase 1,1,1,30
218498_s_at,30001,ERO1A,endoplasmic reticulum oxidoreductase alpha,1,1,30001
202282_at,3028,HSD17B10,hydroxysteroid (17-beta) dehydrogenase 10,1,1,3028
201036_s_at,3033,HADH,hydroxyacyl-CoA dehydrogenase,1,1,3033
201833_at,3066,HDAC2,histone deacetylase 2,1,1,3066
202776_at,30836,DNTTIP2,"deoxynucleotidyltransferase, terminal, interacting protein 2",1,1,30836
212740_at,30849,PIK3R4,phosphoinositide-3-kinase regulatory subunit 4,1,1,30849
200989_at,3091,HIF1A,"hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)",1,1,3091
200697_at,3098,HK1,hexokinase 1,1,1,3098
209860_s_at,310,ANXA7,annexin A7,1,1,310
217478_s_at,3108,HLA-DMA,"major histocompatibility complex, class II, DM alpha",1,1,3108
208894_at,3122,HLA-DRA,"major histocompatibility complex, class II, DR alpha",1,1,3122
202540_s_at,3156,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,1,1,3156
221750_at,3157,HMGCS1,3-hydroxy-3-methylglutaryl-CoA synthase 1,1,1,3157
203665_at,3162,HMOX1,heme oxygenase 1,1,1,3162
